atlas_id,created_at,provider,lat,lon,width,height
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.3248,0.0798,0.0798
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7926,-25.249,0.0798,0.0798
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.8556,0.0797,0.0799
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.1732,0.0798,0.0799
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.0973,0.0798,0.0799
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.7797,0.0797,0.0799
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.7039,0.0798,0.0799
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.6281,0.0798,0.0799
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.5522,0.0798,0.0799
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.4764,0.0797,0.0799
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.4006,0.0797,0.0799
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.3248,0.0798,0.0799
33,2014-10-14 00:31:38,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.7127,-25.249,0.0798,0.0799
34,2013-04-18 08:05:32,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,44.5083,34.1352,0.049,0.0244
34,2013-04-18 08:05:32,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,44.5083,34.1842,0.049,0.0244
34,2013-04-18 08:05:32,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,44.4849,34.1352,0.049,0.0245
34,2013-04-18 08:05:32,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,44.4849,34.1842,0.049,0.0245
35,2014-01-07 18:04:19,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,32.2477,77.1882,0.0745,0.0441
36,2014-10-07 06:33:14,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,57.4703,-5.4383,14.2713,5.3603
36,2014-10-07 06:33:14,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,57.4703,8.833,14.2712,5.3603
36,2014-10-07 06:33:14,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,57.4703,23.1043,14.2713,5.3603
36,2014-10-07 06:33:14,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,57.4703,37.3755,14.2712,5.3603
36,2014-10-07 06:33:14,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,51.9943,-5.4383,14.2713,6.1386
36,2014-10-07 06:33:14,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,51.9943,8.833,14.2712,6.1386
36,2014-10-07 06:33:14,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,51.9943,23.1043,14.2713,6.1386
36,2014-10-07 06:33:14,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,51.9943,37.3755,14.2712,6.1386
36,2014-10-07 06:33:14,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,45.7584,-5.4383,14.2713,6.9565
36,2014-10-07 06:33:14,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,45.7584,8.833,14.2712,6.9565
36,2014-10-07 06:33:14,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,45.7584,23.1043,14.2713,6.9565
36,2014-10-07 06:33:14,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,45.7584,37.3755,14.2712,6.9565
36,2014-10-07 06:33:14,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,38.7421,-5.4383,14.2713,7.7781
36,2014-10-07 06:33:14,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,38.7421,8.833,14.2712,7.7781
36,2014-10-07 06:33:14,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,38.7421,23.1043,14.2713,7.7781
36,2014-10-07 06:33:14,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,38.7421,37.3755,14.2712,7.7781
37,2014-12-22 03:21:16,http://tile.opencyclemap.org/cycle/{Z}/{X}/{Y}.png,-29.9618,28.7649,0.8295,0.5031
37,2014-12-22 03:21:16,http://tile.opencyclemap.org/cycle/{Z}/{X}/{Y}.png,-29.9618,29.5945,0.8295,0.5031
38,2014-12-09 23:13:55,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,19.0539,72.9073,0.0022,0.0015
38,2014-12-09 23:13:55,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,19.0539,72.9094,0.0021,0.0015
38,2014-12-09 23:13:55,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,19.0525,72.9073,0.0022,0.0014
38,2014-12-09 23:13:55,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,19.0525,72.9094,0.0021,0.0014
39,2014-09-22 22:44:39,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,-6.1162,106.7232,0.0078,0.0098
40,2013-09-15 01:55:01,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8085,2.1247,0.0039,0.0016
40,2013-09-15 01:55:01,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8085,2.1284,0.0038,0.0016
40,2013-09-15 01:55:01,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8085,2.132,0.0038,0.0016
40,2013-09-15 01:55:01,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8085,2.1357,0.0039,0.0016
40,2013-09-15 01:55:01,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8069,2.1247,0.0039,0.0016
40,2013-09-15 01:55:01,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8069,2.1284,0.0038,0.0016
40,2013-09-15 01:55:01,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8069,2.132,0.0038,0.0016
40,2013-09-15 01:55:01,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8069,2.1357,0.0039,0.0016
40,2013-09-15 01:55:01,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8053,2.1247,0.0039,0.0016
40,2013-09-15 01:55:01,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8053,2.1284,0.0038,0.0016
40,2013-09-15 01:55:01,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8053,2.132,0.0038,0.0016
40,2013-09-15 01:55:01,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8053,2.1357,0.0039,0.0016
41,2013-11-07 17:34:15,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.8312,10.7708,0.0473,0.0204
42,2013-09-03 10:17:38,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.6769,1.4279,0.1751,0.0886
43,2014-05-04 15:49:53,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,34.8402,134.6875,0.008,0.0084
43,2014-05-04 15:49:53,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,34.8402,134.6952,0.0081,0.0084
43,2014-05-04 15:49:53,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,34.8319,134.6875,0.008,0.0083
43,2014-05-04 15:49:53,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,34.8319,134.6952,0.0081,0.0083
43,2014-05-04 15:49:53,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,34.8235,134.6875,0.008,0.0084
43,2014-05-04 15:49:53,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,34.8235,134.6952,0.0081,0.0084
