atlas_id,timestamp,provider,lat,lon,width,height
40,1379235301,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8085,2.1284,0.0038,0.0016
40,1379235301,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8085,2.132,0.0038,0.0016
40,1379235301,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8085,2.1357,0.0039,0.0016
40,1379235301,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8069,2.1247,0.0039,0.0016
40,1379235301,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8069,2.1284,0.0038,0.0016
40,1379235301,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8069,2.132,0.0038,0.0016
40,1379235301,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8069,2.1357,0.0039,0.0016
40,1379235301,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8053,2.1247,0.0039,0.0016
40,1379235301,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8053,2.1284,0.0038,0.0016
40,1379235301,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8053,2.132,0.0038,0.0016
40,1379235301,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.8053,2.1357,0.0039,0.0016
41,1383874455,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,51.8312,10.7708,0.0473,0.0204
42,1378228658,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.6769,1.4279,0.1751,0.0886
43,1399243793,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,34.8402,134.6875,0.008,0.0084
43,1399243793,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,34.8402,134.6952,0.0081,0.0084
43,1399243793,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,34.8319,134.6875,0.008,0.0083
43,1399243793,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,34.8319,134.6952,0.0081,0.0083
43,1399243793,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,34.8235,134.6875,0.008,0.0084
43,1399243793,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,34.8235,134.6952,0.0081,0.0084
44,1398716052,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.6603,-79.7839,0.0738,0.0374
44,1398716052,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.6603,-79.71,0.0739,0.0374
44,1398716052,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.6603,-79.6362,0.0738,0.0374
44,1398716052,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.6603,-79.5624,0.0738,0.0374
44,1398716052,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.6247,-79.7839,0.0738,0.0374
44,1398716052,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.6247,-79.71,0.0739,0.0374
44,1398716052,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.6247,-79.6362,0.0738,0.0374
44,1398716052,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.6247,-79.5624,0.0738,0.0374
44,1398716052,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.5891,-79.7839,0.0738,0.0375
